Date,Open,High,Low,Close,Adj Close,Volume
1986-07-07,10.687500,11.125000,10.562500,10.562500,7.668062,2512800
1986-07-14,10.625000,10.625000,9.312500,10.250000,7.441202,6423600
1986-07-21,10.250000,10.312500,9.812500,10.062500,7.305080,3477600
1986-07-28,10.062500,10.250000,9.750000,9.750000,7.078215,3484000
1986-08-04,9.812500,9.812500,8.125000,8.875000,6.442990,12673600
1986-08-11,9.000000,10.093750,8.875000,9.375000,6.805974,4865200
1986-08-18,9.437500,9.875000,9.250000,9.375000,6.805974,4490000
1986-08-25,9.500000,9.500000,9.062500,9.125000,6.624484,3276400
1986-09-01,9.187500,9.437500,8.687500,9.000000,6.533733,3139600
1986-09-08,9.125000,9.125000,7.562500,7.625000,5.535527,11290400
1986-09-15,7.625000,8.750000,7.062500,8.562500,6.216124,6052800
1986-09-22,8.562500,8.687500,8.062500,8.312500,6.034632,2134000
1986-09-29,8.375000,8.750000,8.062500,8.375000,6.080004,2986400
1986-10-06,8.500000,8.625000,8.250000,8.312500,6.034632,1684000
1986-10-13,8.375000,8.812500,8.062500,8.500000,6.170753,2066800
1986-10-20,8.437500,8.500000,8.062500,8.312500,6.034632,3486400
1986-10-27,8.375000,9.187500,8.250000,9.000000,6.533733,3075600
1986-11-03,8.875000,9.062500,8.562500,8.781250,6.374929,1874400
1986-11-10,8.812500,9.031250,8.187500,8.375000,6.080004,2699600
1986-11-17,8.375000,9.000000,8.187500,8.937500,6.488362,3330800
1986-11-24,8.812500,9.250000,8.812500,9.000000,6.533733,1547200
1986-12-01,9.000000,9.187500,8.500000,8.562500,6.216124,3738000
1986-12-08,8.500000,8.625000,7.937500,8.062500,5.853140,2859600
1986-12-15,8.062500,8.750000,8.000000,8.375000,6.080004,3116400
1986-12-22,8.437500,8.625000,8.250000,8.375000,6.080004,1023600
1986-12-29,8.312500,8.375000,8.125000,8.343750,6.057318,1689200
1987-01-05,8.375000,9.875000,8.375000,9.750000,7.078215,5157200
1987-01-12,9.687500,9.750000,8.812500,8.875000,6.442990,6815200
1987-01-19,8.875000,9.875000,8.875000,9.437500,6.851349,4962800
1987-01-26,9.500000,10.062500,9.187500,9.718750,7.055530,3217600
1987-02-02,9.750000,10.250000,9.437500,9.812500,7.123587,4239200
1987-02-09,9.875000,10.625000,9.500000,10.250000,7.441202,4087200
1987-02-16,10.312500,10.937500,10.250000,10.812500,7.849563,3404000
1987-02-23,10.812500,11.312500,10.625000,11.062500,8.031050,3279600
1987-03-02,11.062500,11.437500,10.687500,11.187500,8.121796,2905200
1987-03-09,11.187500,12.625000,11.031250,12.125000,8.802396,5668000
1987-03-16,12.187500,12.625000,12.125000,12.500000,9.074633,5200400
1987-03-23,12.500000,12.937500,12.375000,12.750000,9.256129,4988000
1987-03-30,12.750000,12.750000,11.437500,12.062500,8.757026,3843200
1987-04-06,12.062500,12.375000,11.875000,11.875000,8.620902,1861600
1987-04-13,11.812500,11.875000,10.562500,10.875000,7.894932,3835200
1987-04-20,10.875000,11.062500,10.125000,10.187500,7.395827,2722800
1987-04-27,10.187500,10.812500,9.500000,10.562500,7.668062,5175600
1987-05-04,10.562500,10.750000,10.250000,10.687500,7.758811,3519200
1987-05-11,10.750000,11.250000,10.500000,11.000000,7.985681,3318000
1987-05-18,11.062500,11.062500,10.687500,10.812500,7.849563,3684000
1987-05-25,10.750000,11.062500,10.625000,10.812500,7.849563,2217600
1987-06-01,10.812500,11.000000,10.375000,10.875000,7.894932,2520000
1987-06-08,10.875000,12.062500,10.750000,12.000000,8.711649,3222800
1987-06-15,12.000000,12.250000,11.500000,11.625000,8.439410,4101200
1987-06-22,11.750000,11.937500,11.125000,11.437500,8.303293,3458800
1987-06-29,11.500000,11.562500,11.125000,11.500000,8.348665,2314800
1987-07-06,11.375000,11.937500,11.375000,11.812500,8.575532,5013600
1987-07-13,11.687500,12.312500,11.625000,11.750000,8.530157,6293600
1987-07-20,11.750000,11.937500,11.312500,11.562500,8.394035,2024000
1987-07-27,11.500000,11.937500,11.312500,11.937500,8.666277,2378800
1987-08-03,11.875000,12.468750,11.687500,12.312500,8.938513,2318000
1987-08-10,12.312500,13.125000,12.312500,12.687500,9.210751,6511200
1987-08-17,12.625000,12.875000,12.062500,12.875000,9.346869,2440800
1987-08-24,12.750000,12.875000,12.375000,12.500000,9.074633,2202800
1987-08-31,12.437500,12.562500,11.906250,11.937500,8.666277,2339600
1987-09-07,11.937500,12.062500,11.187500,11.625000,8.439410,3691600
1987-09-14,11.687500,11.750000,10.625000,11.312500,8.212542,3576800
1987-09-21,11.312500,11.812500,10.562500,11.812500,8.575532,4444400
1987-09-28,11.875000,12.125000,11.437500,11.750000,8.530157,2520000
1987-10-05,11.687500,11.750000,10.093750,10.187500,7.395827,5433200
1987-10-12,10.125000,10.125000,9.000000,9.125000,6.624484,9320400
1987-10-19,9.000000,9.000000,7.250000,7.562500,5.490157,11903200
1987-10-26,7.562500,7.875000,6.687500,7.750000,5.626274,8388000
1987-11-02,7.750000,8.062500,7.500000,7.562500,5.490157,4640800
1987-11-09,7.437500,7.750000,7.125000,7.250000,5.263288,3978000
1987-11-16,7.312500,7.375000,6.500000,6.812500,4.945677,5880000
1987-11-23,6.812500,7.500000,6.750000,7.000000,5.081795,3030800
1987-11-30,7.000000,7.000000,5.875000,6.031250,4.378513,6705200
1987-12-07,6.062500,7.250000,5.937500,7.000000,5.081795,5613600
1987-12-14,6.937500,8.125000,6.812500,8.062500,5.853140,4717600
1987-12-21,8.000000,8.312500,7.812500,8.125000,5.898512,2798800
1987-12-28,8.125000,8.250000,7.750000,8.187500,5.943887,3468800
1988-01-04,8.125000,9.000000,7.906250,7.937500,5.762393,5660000
1988-01-11,7.812500,8.500000,7.750000,8.375000,6.080004,3043200
1988-01-18,8.500000,8.875000,8.187500,8.312500,6.034632,3106800
1988-01-25,8.312500,8.906250,8.187500,8.906250,6.465677,1931200
1988-02-01,8.937500,9.312500,8.750000,9.250000,6.715231,4190000
1988-02-08,9.250000,9.687500,9.062500,9.687500,7.032842,4981200
1988-02-15,9.625000,10.125000,9.562500,9.937500,7.214336,4940000
1988-02-22,9.937500,10.125000,9.750000,9.906250,7.191648,5029600
1988-02-29,9.937500,10.000000,9.437500,9.625000,6.987468,4050800
1988-03-07,9.562500,9.750000,9.250000,9.500000,6.896723,3936800
1988-03-14,9.500000,9.875000,9.500000,9.812500,7.123587,3230800
1988-03-21,9.812500,9.812500,9.187500,9.250000,6.715231,3807600
1988-03-28,9.125000,9.593750,9.000000,9.375000,6.805974,3642800
1988-04-04,9.250000,9.375000,9.000000,9.343750,6.783290,4110000
1988-04-11,9.375000,9.562500,8.937500,9.000000,6.533733,4275600
1988-04-18,9.000000,9.375000,8.937500,9.343750,6.783290,2072800
1988-04-25,9.375000,9.750000,9.375000,9.500000,6.896723,1825200
1988-05-02,9.562500,9.812500,9.500000,9.562500,6.942098,2528000
1988-05-09,9.500000,9.625000,9.312500,9.500000,6.896723,2280000
1988-05-16,9.437500,9.500000,8.875000,9.000000,6.533733,3418800
1988-05-23,8.937500,9.218750,8.875000,9.000000,6.533733,2555200
1988-05-30,9.062500,9.875000,9.000000,9.562500,6.942098,3943600
1988-06-06,9.625000,9.937500,9.125000,9.937500,7.214336,3446000
1988-06-13,9.937500,10.062500,9.625000,9.937500,7.214336,3492400
1988-06-20,9.875000,10.000000,9.687500,9.718750,7.055530,3120800
1988-06-27,9.687500,9.750000,9.250000,9.437500,6.851349,2239200
1988-07-04,9.375000,9.562500,9.062500,9.062500,6.579111,3162400
1988-07-11,9.062500,9.187500,8.937500,8.937500,6.488362,2687200
1988-07-18,8.937500,9.000000,8.562500,8.625000,6.261497,4668400
1988-07-25,8.687500,8.812500,8.375000,8.812500,6.397617,6718800
1988-08-01,8.812500,9.187500,8.625000,9.062500,6.579111,2788000
1988-08-08,9.062500,9.187500,8.625000,8.687500,6.306871,3214000
1988-08-15,8.687500,9.250000,8.437500,9.093750,6.601799,2190800
1988-08-22,9.062500,9.187500,8.875000,9.125000,6.624484,1859600
1988-08-29,9.125000,9.312500,8.906250,9.125000,6.624484,2167600
1988-09-05,9.187500,9.750000,9.062500,9.687500,7.032842,3045200
1988-09-12,9.687500,9.750000,9.343750,9.500000,6.896723,3876800
1988-09-19,9.562500,9.812500,9.437500,9.562500,6.942098,2953200
1988-09-26,9.562500,9.718750,9.437500,9.687500,7.032842,2539600
1988-10-03,9.625000,10.062500,9.500000,10.031250,7.282393,5080400
1988-10-10,10.000000,10.125000,9.562500,9.937500,7.214336,5008000
1988-10-17,10.000000,10.500000,9.875000,10.437500,7.577318,6391600
1988-10-24,10.437500,10.562500,10.000000,10.125000,7.350457,2812000
1988-10-31,10.125000,10.125000,9.625000,9.937500,7.214336,3784800
1988-11-07,9.875000,10.062500,9.562500,9.562500,6.942098,1608000
1988-11-14,9.625000,9.625000,9.250000,9.406250,6.828658,2422800
1988-11-21,9.437500,9.562500,9.125000,9.343750,6.783290,1795600
1988-11-28,9.250000,9.937500,9.250000,9.812500,7.123587,2254800
1988-12-05,9.875000,10.125000,9.812500,9.875000,7.168961,2989600
1988-12-12,9.875000,10.125000,9.625000,10.062500,7.305080,4018400
1988-12-19,10.062500,10.187500,9.562500,9.625000,6.987468,4317200
1988-12-26,9.750000,9.750000,9.375000,9.375000,6.805974,1614000
1989-01-02,9.375000,9.812500,9.125000,9.656250,7.010154,4310000
1989-01-09,9.750000,9.875000,9.312500,9.312500,6.760603,3729600
1989-01-16,9.312500,9.625000,8.812500,9.125000,6.624484,13274800
1989-01-23,9.125000,9.625000,8.875000,9.500000,6.896723,6371200
1989-01-30,9.437500,9.562500,9.000000,9.187500,6.669858,7459200
1989-02-06,9.062500,9.437500,8.906250,9.125000,6.624484,8593200
1989-02-13,9.000000,9.250000,8.937500,9.062500,6.579111,7564000
1989-02-20,9.000000,9.375000,9.000000,9.187500,6.669858,5028800
1989-02-27,9.250000,9.468750,9.062500,9.312500,6.760603,7018000
1989-03-06,9.250000,9.312500,9.062500,9.062500,6.579111,5205200
1989-03-13,9.062500,9.312500,9.000000,9.125000,6.624484,5048800
1989-03-20,9.187500,9.187500,8.750000,8.812500,6.397617,3324800
1989-03-27,8.750000,9.062500,8.687500,9.062500,6.579111,4018800
1989-04-03,9.000000,9.187500,8.875000,9.062500,6.579111,4838000
1989-04-10,9.187500,9.875000,9.125000,9.812500,7.123587,7405200
1989-04-17,9.812500,10.500000,9.750000,10.250000,7.441202,7246400
1989-04-24,10.250000,10.312500,10.000000,10.187500,7.395827,3208400
1989-05-01,10.125000,10.875000,10.125000,10.812500,7.849563,6352800
1989-05-08,10.812500,11.500000,10.687500,11.437500,8.303293,7230800
1989-05-15,11.437500,11.937500,11.375000,11.843750,8.598213,6965600
1989-05-22,11.875000,11.875000,11.000000,11.187500,8.121796,12846400
1989-05-29,11.187500,11.781250,11.062500,11.781250,8.552843,4428400
1989-06-05,11.750000,11.875000,11.218750,11.468750,8.325975,3480000
1989-06-12,11.437500,11.812500,11.250000,11.812500,8.575532,3881200
1989-06-19,11.812500,11.937500,9.937500,10.062500,7.305080,17016400
1989-06-26,10.000000,10.687500,9.812500,10.000000,7.259705,8406400
1989-07-03,10.000000,10.656250,9.812500,10.562500,7.668062,3827200
1989-07-10,10.531250,10.750000,10.500000,10.750000,7.804184,1846000
1989-07-17,10.687500,10.750000,10.437500,10.500000,7.622695,3032000
1989-07-24,10.500000,10.625000,10.375000,10.500000,7.622695,1616400
1989-07-31,10.562500,11.125000,10.437500,10.500000,7.622695,5122400
1989-08-07,10.500000,10.812500,10.375000,10.656250,7.736124,6014400
1989-08-14,10.625000,10.937500,10.625000,10.812500,7.849563,1931600
1989-08-21,10.750000,10.875000,10.562500,10.687500,7.758811,4604000
1989-08-28,10.687500,11.125000,10.625000,11.062500,8.031050,5206000
1989-09-04,11.125000,11.125000,10.937500,11.000000,7.985681,1545200
1989-09-11,10.937500,11.156250,10.937500,10.937500,7.940307,3600000
1989-09-18,10.937500,11.187500,10.562500,10.593750,7.690749,5505600
1989-09-25,10.500000,11.000000,10.437500,10.750000,7.804184,4036000
1989-10-02,10.625000,11.000000,10.500000,10.875000,7.894932,4002400
1989-10-09,10.875000,11.312500,10.875000,10.937500,7.940307,4113600
1989-10-16,10.687500,12.125000,10.312500,11.812500,8.575532,16707600
1989-10-23,11.750000,12.062500,11.125000,11.250000,8.167170,7287600
1989-10-30,11.250000,11.312500,10.937500,11.062500,8.031050,3611600
1989-11-06,11.000000,11.187500,10.500000,11.062500,8.031050,5086800
1989-11-13,11.062500,12.375000,10.875000,12.312500,8.938513,6221200
1989-11-20,12.312500,12.375000,11.875000,12.062500,8.757026,3474000
1989-11-27,11.937500,12.062500,11.500000,11.937500,8.666277,4173200
1989-12-04,12.000000,12.062500,11.312500,11.312500,8.212542,4397600
1989-12-11,11.312500,11.375000,10.937500,11.000000,7.985681,2290400
1989-12-18,11.125000,11.562500,10.437500,11.375000,8.257915,4217200
1989-12-25,11.437500,11.687500,11.250000,11.562500,8.394035,1839600
1990-01-01,11.625000,12.062500,11.375000,12.000000,8.711649,3060000
1990-01-08,11.875000,12.000000,10.218750,10.375000,7.531948,10671200
1990-01-15,10.437500,10.687500,10.000000,10.093750,7.327769,6582400
1990-01-22,10.125000,10.125000,9.437500,10.000000,7.259705,6038800
1990-01-29,9.937500,10.062500,9.625000,9.937500,7.214336,10273600
1990-02-05,9.937500,10.000000,9.500000,9.625000,6.987468,8134000
