Date,Open,High,Low,Close,Adj Close,Volume
1981-06-01,0.000000,2.609428,2.558923,2.575758,0.738875,186800
1981-06-08,2.542088,2.609428,2.542088,2.542088,0.729217,169000
1981-06-15,0.000000,2.609428,2.558923,2.575758,0.738875,70400
1981-06-22,0.000000,2.659933,2.575758,2.626263,0.753363,2285600
1981-06-29,0.000000,2.643098,2.558923,2.558923,0.734046,97600
1981-07-06,0.000000,2.626263,2.474747,2.575758,0.738875,261200
1981-07-13,0.000000,2.693603,2.575758,2.659933,0.763022,179000
1981-07-20,0.000000,2.676768,2.525253,2.525253,0.724388,185800
1981-07-27,0.000000,2.609428,2.558923,2.558923,0.734046,146800
1981-08-03,0.000000,2.760943,2.558923,2.727273,0.782339,116200
1981-08-10,2.727273,2.794613,2.727273,2.727273,0.782339,59400
1981-08-17,0.000000,2.744108,2.693603,2.693603,0.772680,126000
1981-08-24,0.000000,2.693603,2.609428,2.626263,0.753363,121200
1981-08-31,0.000000,2.693603,2.525253,2.525253,0.724388,70600
1981-09-07,0.000000,2.525253,2.457912,2.491582,0.714729,104600
1981-09-14,2.508418,2.558923,2.508418,2.508418,0.719558,391600
1981-09-21,0.000000,2.558923,2.474747,2.474747,0.709900,166200
1981-09-28,0.000000,2.626263,2.474747,2.575758,0.738875,91200
1981-10-05,0.000000,2.676768,2.626263,2.643098,0.758192,92200
1981-10-12,0.000000,2.693603,2.609428,2.609428,0.748534,77400
1981-10-19,0.000000,2.676768,2.609428,2.626263,0.753363,225600
1981-10-26,0.000000,2.626263,2.575758,2.575758,0.738875,397000
1981-11-02,2.575758,2.626263,2.575758,2.575758,0.738875,136600
1981-11-09,2.575758,2.609428,2.558923,2.558923,0.734046,178000
1981-11-16,0.000000,2.592592,2.508418,2.525253,0.724388,299800
1981-11-23,0.000000,2.643098,2.542088,2.609428,0.748534,333600
1981-11-30,0.000000,2.659933,2.609428,2.609428,0.748534,601200
1981-12-07,0.000000,2.643098,2.609428,2.609428,0.748534,273200
1981-12-14,0.000000,2.626263,2.592592,2.592592,0.743705,355200
1981-12-21,0.000000,2.609428,2.575758,2.575758,0.738875,199400
1981-12-28,0.000000,2.592592,2.508418,2.508418,0.719558,733600
1982-01-04,0.000000,2.558923,2.239057,2.323232,0.666437,71800
1982-01-11,2.306397,2.373737,2.306397,2.306397,0.661607,84800
1982-01-18,0.000000,2.373737,2.306397,2.323232,0.666437,268200
1982-01-25,2.289562,2.356902,2.289562,2.323232,0.666437,82800
1982-02-01,0.000000,2.390572,2.323232,2.340067,0.671266,129400
1982-02-08,0.000000,2.390572,2.272727,2.272727,0.651949,178200
1982-02-15,0.000000,2.289562,2.239057,2.239057,0.642290,177600
1982-02-22,0.000000,2.323232,2.239057,2.272727,0.651949,66200
1982-03-01,2.306397,2.356902,2.289562,2.306397,0.661607,42400
1982-03-08,2.272727,2.356902,2.272727,2.272727,0.651949,425800
1982-03-15,0.000000,2.306397,2.222222,2.222222,0.637461,173200
1982-03-22,0.000000,2.306397,2.255892,2.255892,0.647120,74800
1982-03-29,0.000000,2.306397,2.255892,2.272727,0.651949,28600
1982-04-05,0.000000,2.306397,2.255892,2.255892,0.647120,21800
1982-04-12,0.000000,2.306397,2.239057,2.239057,0.642290,332200
1982-04-19,0.000000,2.340067,2.239057,2.289562,0.656778,63600
1982-04-26,0.000000,2.356902,2.306397,2.306397,0.661607,48000
1982-05-03,0.000000,2.390572,2.306397,2.340067,0.671266,62800
1982-05-10,2.356902,2.390572,2.340067,2.356902,0.676095,122600
1982-05-17,0.000000,2.390572,2.356902,2.356902,0.676095,94600
1982-05-24,0.000000,2.390572,2.356902,2.356902,0.676095,199000
1982-05-31,0.000000,2.390572,2.356902,2.356902,0.676095,83000
1982-06-07,0.000000,2.390572,2.356902,2.356902,0.676095,199200
1982-06-14,0.000000,2.390572,2.340067,2.340067,0.671266,270400
1982-06-21,0.000000,2.373737,2.255892,2.255892,0.647120,427400
1982-06-28,0.000000,2.289562,2.239057,2.239057,0.642290,418800
1982-07-05,0.000000,2.239057,2.171717,2.171717,0.622973,203800
1982-07-12,0.000000,2.239057,2.188552,2.188552,0.627802,252200
1982-07-19,0.000000,2.272727,2.222222,2.222222,0.637461,417400
1982-07-26,0.000000,2.255892,2.138047,2.171717,0.622973,141600
1982-08-02,0.000000,2.239057,2.171717,2.171717,0.622973,148000
1982-08-09,2.154882,2.205387,2.154882,2.154882,0.618144,123000
1982-08-16,2.154882,2.222222,2.154882,2.188552,0.627802,31000
1982-08-23,0.000000,2.356902,2.255892,2.323232,0.666437,540400
1982-08-30,0.000000,2.491582,2.323232,2.457912,0.705071,141800
1982-09-06,0.000000,2.542088,2.474747,2.508418,0.719558,174400
1982-09-13,0.000000,2.575758,2.508418,2.542088,0.729217,171800
1982-09-20,0.000000,2.609428,2.558923,2.575758,0.738875,156600
1982-09-27,0.000000,2.727273,2.609428,2.693603,0.772680,203400
1982-10-04,0.000000,2.962963,2.710438,2.929293,0.840290,1205400
1982-10-11,0.000000,2.996633,2.929293,2.929293,0.840290,458600
1982-10-18,0.000000,3.097643,2.946128,3.047138,0.874094,518200
1982-10-25,0.000000,3.131313,3.047138,3.080808,0.883752,430400
1982-11-01,0.000000,3.164983,3.080808,3.131313,0.898241,188200
1982-11-08,0.000000,3.164983,3.080808,3.097643,0.888582,336800
1982-11-15,0.000000,3.164983,3.097643,3.097643,0.888582,403200
1982-11-22,0.000000,3.131313,3.097643,3.097643,0.888582,26400
1982-11-29,3.097643,3.131313,3.097643,3.097643,0.888582,106000
1982-12-06,0.000000,3.164983,3.097643,3.097643,0.888582,160000
1982-12-13,0.000000,3.198653,3.030303,3.030303,0.869265,161600
1982-12-20,0.000000,3.063973,2.996633,2.996633,0.859606,177200
1982-12-27,2.929293,3.030303,2.929293,2.929293,0.840290,73200
1983-01-03,0.000000,2.996633,2.895623,2.962963,0.849948,202200
1983-01-10,0.000000,3.114478,2.946128,2.946128,0.845119,272000
1983-01-17,0.000000,2.962963,2.861953,2.861953,0.820973,248000
1983-01-24,0.000000,2.946128,2.878788,2.912458,0.835460,103000
1983-01-31,2.912458,2.962963,2.912458,2.912458,0.835460,49400
1983-02-07,0.000000,2.962963,2.929293,2.929293,0.840290,110400
1983-02-14,0.000000,2.929293,2.861953,2.861953,0.820973,192600
1983-02-21,2.861953,2.912458,2.861953,2.861953,0.820973,6200
1983-02-28,0.000000,2.929293,2.861953,2.895623,0.830631,112400
1983-03-07,3.080808,3.114478,3.080808,3.080808,0.883752,111200
1983-03-14,0.000000,3.164983,3.080808,3.131313,0.898241,183800
1983-03-21,0.000000,3.181818,3.131313,3.131313,0.898241,66600
1983-03-28,0.000000,3.181818,3.131313,3.164983,0.907899,33200
1983-04-04,3.164983,3.215488,3.164983,3.164983,0.907899,28800
1983-04-11,0.000000,3.333333,3.215488,3.299663,0.946534,183000
1983-04-18,0.000000,3.350168,3.232323,3.316498,0.951362,326200
1983-04-25,0.000000,3.434343,3.367003,3.400673,0.975509,117800
1983-05-02,0.000000,3.434343,3.367003,3.367003,0.965850,76000
1983-05-09,0.000000,3.383838,3.316498,3.316498,0.951362,67600
1983-05-16,0.000000,3.367003,3.249158,3.249158,0.932045,275200
1983-05-23,0.000000,3.636364,3.265993,3.585859,1.028631,363600
1983-05-30,0.000000,3.653199,3.585859,3.619529,1.038290,87600
1983-06-06,0.000000,3.686869,3.333333,3.333333,0.956191,238000
1983-06-13,0.000000,3.367003,3.215488,3.215488,0.922387,277000
1983-06-20,0.000000,3.299663,3.063973,3.232323,0.927216,240800
1983-06-27,0.000000,3.434343,3.299663,3.367003,0.965850,90400
1983-07-04,0.000000,3.367003,3.232323,3.299663,0.946534,97600
1983-07-11,0.000000,3.501683,3.367003,3.367003,0.965850,248600
1983-07-18,0.000000,3.468014,3.367003,3.367003,0.965850,119000
1983-07-25,3.333333,3.434343,3.097643,3.097643,0.888582,120600
1983-08-01,0.000000,3.164983,3.063973,3.063973,0.878923,884800
1983-08-08,0.000000,3.164983,3.063973,3.097643,0.888582,85800
1983-08-15,0.000000,3.198653,3.097643,3.131313,0.898241,105000
1983-08-22,0.000000,3.232323,3.131313,3.164983,0.907899,124400
1983-08-29,0.000000,3.400673,3.164983,3.333333,0.956191,262400
1983-09-05,0.000000,3.535353,3.367003,3.501683,1.004484,300400
1983-09-12,0.000000,3.602694,3.501683,3.501683,1.004484,925800
1983-09-19,0.000000,3.771044,3.535353,3.670034,1.052776,559800
1983-09-26,0.000000,3.771044,3.636364,3.636364,1.043118,63000
1983-10-03,0.000000,3.737374,3.569024,3.569024,1.023801,126200
1983-10-10,0.000000,3.602694,3.400673,3.400673,0.975509,132200
1983-10-17,0.000000,3.535353,3.400673,3.468014,0.994826,44000
1983-10-24,0.000000,3.535353,3.434343,3.434343,0.985167,180600
1983-10-31,0.000000,3.602694,3.434343,3.501683,1.004484,393400
1983-11-07,0.000000,3.602694,3.468014,3.468014,0.994826,159400
1983-11-14,0.000000,3.468014,3.333333,3.333333,0.956191,108400
1983-11-21,0.000000,3.434343,3.198653,3.198653,0.917558,61200
1983-11-28,0.000000,3.299663,3.198653,3.232323,0.927216,63200
1983-12-05,0.000000,3.333333,3.232323,3.265993,0.936875,42200
1983-12-12,0.000000,3.400673,3.265993,3.333333,0.956191,79200
